file,decision,priority,risk_score,loc,has_nearby_test,any_count,console_count,catch_count,runtime_unreachable,planned_move_scope,reasons
src/services/telemetry/telemetry.capture.ts,KEEP,none,1,272,false,0,0,0,false,false,no_nearby_tests
src/services/telemetry/telemetry.types.ts,KEEP,none,1,271,false,0,0,0,false,false,no_nearby_tests
src/services/documents/export.service.ts,KEEP,none,1,259,false,0,0,0,false,false,no_nearby_tests
src/services/connectors/slack/slackClient.service.ts,KEEP,none,1,254,false,0,0,1,false,false,no_nearby_tests
src/services/editing/editOperatorAliases.service.ts,KEEP,none,1,249,false,0,0,0,false,true,no_nearby_tests
src/services/documents/encryptedDocumentRepo.service.ts,KEEP,none,1,246,false,0,0,0,false,false,no_nearby_tests
src/services/llm/core/llmClient.interface.ts,KEEP,none,1,238,false,1,0,0,false,false,no_nearby_tests
src/services/admin/security.service.ts,KEEP,none,1,231,false,0,0,0,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.types.ts,KEEP,none,1,227,false,0,0,0,false,true,no_nearby_tests
src/services/llm/providers/gemini/geminiConfig.ts,KEEP,none,1,223,false,0,0,0,false,false,no_nearby_tests
src/services/admin/live.service.ts,KEEP,none,1,222,false,0,1,1,false,false,no_nearby_tests
src/services/llm/providers/local/localConfig.ts,KEEP,none,1,219,false,0,0,0,false,false,no_nearby_tests
src/services/editing/editPlan.service.ts,KEEP,none,1,218,false,0,0,0,false,true,no_nearby_tests
src/services/editing/targetResolver.service.ts,KEEP,none,1,204,false,0,0,0,false,true,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.diff.ts,KEEP,none,1,197,false,0,0,0,false,true,no_nearby_tests
src/services/core/banks/bankLoadPlanner.service.ts,KEEP,none,1,195,false,0,0,0,false,true,no_nearby_tests
src/services/pendingUser.service.ts,KEEP,none,1,194,false,1,0,0,false,false,no_nearby_tests
src/services/telemetry/telemetry.constants.ts,KEEP,none,1,191,false,0,0,0,false,false,no_nearby_tests
src/services/connectors/connectorsRegistry.ts,KEEP,none,1,189,false,0,0,0,false,false,no_nearby_tests
src/services/memory/memoryPolicyEngine.service.ts,KEEP,none,1,189,false,0,0,0,false,false,no_nearby_tests
src/services/editing/allybi/multiIntentPlanner.ts,KEEP,none,1,188,false,0,0,0,false,true,no_nearby_tests
src/services/admin/index.ts,KEEP,none,1,187,false,0,0,0,false,false,no_nearby_tests
src/services/core/retrieval/docScopeLock.ts,KEEP,none,1,183,false,0,0,0,false,false,no_nearby_tests
src/services/llm/types/llmErrors.types.ts,KEEP,none,1,181,false,0,0,0,false,false,no_nearby_tests
src/services/editing/contracts/operatorContracts.ts,KEEP,none,1,176,false,0,0,0,false,true,no_nearby_tests
src/services/llm/core/telemetryLlmClient.decorator.ts,KEEP,none,1,176,false,1,0,2,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.patch.types.ts,KEEP,none,1,168,false,0,0,0,false,true,no_nearby_tests
src/services/editing/contracts/editContracts.ts,KEEP,none,1,165,false,0,0,0,false,true,no_nearby_tests
src/services/prismaChat.service.ts,KEEP,none,1,165,false,0,0,0,false,false,no_nearby_tests
src/services/editing/intentRuntime/loaders.ts,KEEP,none,1,162,false,1,0,0,false,true,no_nearby_tests
src/services/editing/editTelemetry.service.ts,KEEP,none,1,161,false,0,0,0,false,true,no_nearby_tests
src/services/connectors/emailSendConfirmation.service.ts,KEEP,none,1,154,false,1,0,0,false,false,no_nearby_tests
src/services/llm/core/llmClientFactory.ts,KEEP,none,1,148,false,1,0,0,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.charts.ts,KEEP,none,1,147,false,0,0,0,false,true,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.range.ts,KEEP,none,1,146,false,0,0,0,false,true,no_nearby_tests
src/services/creative/assetSpec.types.ts,KEEP,none,1,135,false,0,0,0,false,false,no_nearby_tests
src/services/preview/previewOrchestrator.service.ts,KEEP,none,1,134,false,1,0,1,false,false,no_nearby_tests
src/services/core/retrieval/slotResolver.service.ts,KEEP,none,1,133,false,0,0,0,false,false,no_nearby_tests
src/services/editing/intentRuntime/index.ts,KEEP,none,1,131,false,0,0,0,false,true,no_nearby_tests
src/services/editing/diffBuilder.service.ts,KEEP,none,1,128,false,0,0,0,false,true,no_nearby_tests
src/services/core/banks/docTypeInheritanceResolver.service.ts,KEEP,none,1,120,false,0,0,0,false,true,no_nearby_tests
src/services/admin/_shared/percentiles.ts,KEEP,none,1,117,false,0,0,0,false,false,no_nearby_tests
src/services/admin/_shared/pagination.ts,KEEP,none,1,112,false,0,0,0,false,false,no_nearby_tests
src/services/creative/deck/deckPlan.types.ts,KEEP,none,1,109,false,0,0,0,false,false,no_nearby_tests
src/services/health/healthReadiness.service.ts,KEEP,none,1,104,false,0,0,6,false,false,no_nearby_tests
src/services/llm/providers/openai/openaiModels.ts,KEEP,none,1,102,false,0,0,0,false,false,no_nearby_tests
src/services/creative/nanoBanana.client.service.ts,KEEP,none,1,97,false,0,0,0,false,false,no_nearby_tests
src/services/admin/_shared/rangeWindow.ts,KEEP,none,1,96,false,0,0,0,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.style.ts,KEEP,none,1,93,false,0,0,0,false,true,no_nearby_tests
src/services/llm/providers/openai/openaiConfig.ts,KEEP,none,1,93,false,0,0,0,false,false,no_nearby_tests
src/services/spreadsheetEngine/spreadsheetEngine.types.ts,KEEP,none,1,91,false,0,0,0,false,false,no_nearby_tests
src/services/preview/previewProviderRouter.ts,KEEP,none,1,90,false,0,0,0,false,false,no_nearby_tests
src/services/core/banks/bankRollout.service.ts,KEEP,none,1,88,false,0,0,0,false,true,no_nearby_tests
src/services/memory/memoryRedaction.service.ts,KEEP,none,1,87,false,0,0,0,false,false,no_nearby_tests
src/services/core/policy/reasoningPolicy.service.ts,KEEP,none,1,85,true,1,0,0,false,false,any_density
src/services/core/banks/domainPackLoader.service.ts,KEEP,none,1,81,false,0,0,0,false,true,no_nearby_tests
src/services/editing/intentRuntime/worklog.ts,KEEP,none,1,81,false,0,0,0,false,true,no_nearby_tests
src/services/retrieval/chunkCrypto.service.ts,KEEP,none,1,73,false,0,0,0,false,false,no_nearby_tests
src/services/core/policy/viewerLockedChatPolicy.service.ts,KEEP,none,1,70,true,1,0,0,false,false,any_density
src/services/editing/rationaleBuilder.service.ts,KEEP,none,1,70,false,0,0,0,false,true,no_nearby_tests
src/services/editing/editing.constants.ts,KEEP,none,1,69,false,0,0,0,false,true,no_nearby_tests
src/services/editing/index.ts,KEEP,none,1,67,false,0,0,0,false,true,no_nearby_tests
src/services/llm/providers/local/localModels.ts,KEEP,none,1,66,false,0,0,0,false,false,no_nearby_tests
src/services/core/cache/bankRuntimeCache.service.ts,KEEP,none,1,64,false,0,0,0,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.patch.validate.ts,KEEP,none,1,64,false,0,0,1,false,true,no_nearby_tests
src/services/security/twoFactorCrypto.service.ts,KEEP,none,1,64,false,0,0,0,false,false,no_nearby_tests
src/services/folders/folderKey.service.ts,KEEP,none,1,60,false,0,0,0,false,false,no_nearby_tests
src/services/editing/slo/editingSloEvaluator.service.ts,KEEP,none,1,59,false,0,0,0,false,true,no_nearby_tests
src/services/documents/documentKey.service.ts,KEEP,none,1,57,false,0,0,0,false,false,no_nearby_tests
src/services/editing/spreadsheetModel/spreadsheetModel.valueCoercion.ts,KEEP,none,1,55,false,0,0,0,false,true,no_nearby_tests
src/services/core/certification/orchestratorCertification.types.ts,KEEP,none,1,52,false,0,0,0,false,false,no_nearby_tests
src/services/core/banks/bankTierPolicy.service.ts,KEEP,none,1,45,false,0,0,0,false,true,no_nearby_tests
src/services/editing/apply/applyVerification.service.ts,KEEP,none,1,44,false,0,0,0,false,true,no_nearby_tests
src/services/editing/entrypoints/editingFacade.service.ts,KEEP,none,1,44,false,0,0,0,false,true,no_nearby_tests
src/services/editing/docxSpanPayloadGuard.ts,KEEP,none,1,40,false,0,0,0,false,true,no_nearby_tests
src/services/core/policy/policyBankResolver.service.ts,KEEP,none,1,37,false,0,0,0,false,false,no_nearby_tests
src/services/editing/allybi/operatorExecutor.ts,KEEP,none,1,35,false,0,0,0,false,true,no_nearby_tests
src/services/documents/documentCompare.service.ts,KEEP,none,1,31,false,0,0,0,false,false,no_nearby_tests
src/services/documents/documentOutline.service.ts,KEEP,none,1,30,false,0,0,0,false,false,no_nearby_tests
src/services/editing/allybi/diffBuilder.ts,KEEP,none,1,28,false,0,0,0,false,true,no_nearby_tests
